Company Name,Industry,Symbol
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME
Canara Bank,FINANCIAL SERVICES,CANBK
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV
Castrol India Ltd.,ENERGY,CASTROLIND
Ceat Ltd.,AUTOMOBILE,CEATLTD
Central Bank of India,FINANCIAL SERVICES,CENTRALBK
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY
Cera Sanitaryware Ltd,CONSTRUCTION,CERA
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT
Chennai Petroleum Corporation Ltd.,ENERGY,CHENNPETRO
Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,CHOLAHLDNG
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN
Cipla Ltd.,PHARMA,CIPLA
City Union Bank Ltd.,FINANCIAL SERVICES,CUB
Coal India Ltd.,METALS,COALINDIA
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL
Container Corporation of India Ltd.,SERVICES,CONCOR
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL
CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND
Cyient Ltd.,IT,CYIENT
D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM
DLF Ltd.,CONSTRUCTION,DLF
Dabur India Ltd.,CONSUMER GOODS,DABUR
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR
Delta Corp Ltd.,SERVICES,DELTACORP
Dilip Buildcon Ltd.,CONSTRUCTION,DBL
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV
Divi's Laboratories Ltd.,PHARMA,DIVISLAB
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY
EIH Ltd.,SERVICES,EIHOTEL
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP
Emami Ltd.,CONSUMER GOODS,EMAMILTD
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS
Eris Lifesciences Ltd.,PHARMA,ERIS
Escorts Ltd.,AUTOMOBILE,ESCORTS
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND
FDC Ltd.,PHARMA,FDC
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK
Fine Organic Industries Ltd.,CHEMICALS,FINEORG
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE
Firstsource Solutions Ltd.,IT,FSL
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS
GAIL (India) Ltd.,ENERGY,GAIL
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL
GHCL Ltd.,CHEMICALS,GHCL
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA
Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF
Gateway Distriparks Ltd.,SERVICES,GDL
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE
Gillette India Ltd.,CONSUMER GOODS,GILLETTE
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP
Granules India Ltd.,PHARMA,GRANULES
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI
Gujarat Gas Ltd.,ENERGY,GUJGASLTD
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC
Gujarat Pipavav Port Ltd.,SERVICES,GPPL
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC
Gujarat State Petronet Ltd.,ENERGY,GSPL
Gulf Oil Lubricants India Ltd.,ENERGY,GULFOILLUB
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG
HCL Technologies Ltd.,IT,HCLTECH
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY
Hatsun Agro Product Ltd.,CONSUMER GOODS,HATSUN
Havells India Ltd.,CONSUMER GOODS,HAVELLS
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO
Hexaware Technologies Ltd.,IT,HEXAWARE
Himachal Fut Com Ltd.,TELECOM,HFCL
Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE
Hindalco Industries Ltd.,METALS,HINDALCO
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL
Hindustan Copper Ltd.,METALS,HINDCOPPER
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR
Hindustan Zinc Ltd.,METALS,HINDZINC
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI
ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC
ICRA Ltd.,FINANCIAL SERVICES,ICRA
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB
IDFC Ltd.,FINANCIAL SERVICES,IDFC
IFB Industries Ltd.,CONSUMER GOODS,IFBIND
IFCI Ltd.,FINANCIAL SERVICES,IFCI
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB
IRCON International Ltd.,CONSTRUCTION,IRCON
ITC Ltd.,CONSUMER GOODS,ITC
ITD Cementation India Ltd.,CONSTRUCTION,ITDCEM
ITI Ltd.,TELECOM,ITI
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN
Indian Bank,FINANCIAL SERVICES,INDIANB
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL
Indian Oil Corporation Ltd.,ENERGY,IOC
Indian Overseas Bank ,FINANCIAL SERVICES,IOB
Indraprastha Gas Ltd.,ENERGY,IGL
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK
Info Edge (India) Ltd.,IT,NAUKRI
Infosys Ltd.,IT,INFY
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR
Intellect Design Arena Ltd.,IT,INTELLECT
InterGlobe Aviation Ltd.,SERVICES,INDIGO
Ipca Laboratories Ltd.,PHARMA,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM
J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKCEMENT
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI
JK Paper Ltd.,PAPER,JKPAPER
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL
JSW Energy Ltd.,ENERGY,JSWENERGY
JSW Steel Ltd.,METALS,JSWSTEEL
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD
Jindal Saw Ltd.,METALS,JINDALSAW
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR
Jindal Stainless Ltd.,METALS,JSL
Jindal Steel & Power Ltd.,METALS,JINDALSTEL
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD
Jubilant Life Sciences Ltd.,PHARMA,JUBILANT
Justdial Ltd.,IT,JUSTDIAL
Jyothy Laboratories Ltd.,CONSUMER GOODS,JYOTHYLAB
K.P.R. Mill Ltd.,TEXTILES,KPRMILL
KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,KEI
KNR Constructions Ltd.,CONSTRUCTION,KNRCON
KRBL Ltd.,CONSUMER GOODS,KRBL
Kajaria Ceramics Ltd.,CONSTRUCTION,KAJARIACER
Kalpataru Power Transmission Ltd.,ENERGY,KALPATPOWR
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL
Kec International Ltd.,CONSTRUCTION,KEC
Kirloskar Oil Eng Ltd.,INDUSTRIAL MANUFACTURING,KIRLOSENG
Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH
L&T Technology Services Ltd.,IT,LTTS
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH
Larsen & Toubro Infotech Ltd.,IT,LTI
Larsen & Toubro Ltd.,CONSTRUCTION,LT
Laurus Labs Ltd.,PHARMA,LAURUSLABS
Lemon Tree Hotels Ltd.,SERVICES,LEMONTREE
Linde India Ltd.,CHEMICALS,LINDEINDIA
Lupin Ltd.,PHARMA,LUPIN
Lux Industries Ltd.,TEXTILES,LUXIND
MAS Financial Services Ltd.,FINANCIAL SERVICES,MASFIN
MMTC Ltd.,SERVICES,MMTC
MOIL Ltd.,METALS,MOIL
MRF Ltd.,AUTOMOBILE,MRF
Mahanagar Gas Ltd.,ENERGY,MGL
Maharashtra Scooters Ltd.,AUTOMOBILE,MAHSCOOTER
Maharashtra Seamless Ltd.,METALS,MAHSEAMLES
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M
Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,MAHINDCIE
Mahindra Holidays & Resorts India Ltd.,SERVICES,MHRIL
Mahindra Logistics Ltd.,SERVICES,MAHLOG
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.,ENERGY,MRPL
Marico Ltd.,CONSUMER GOODS,MARICO
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL
MindTree Ltd.,IT,MINDTREE
Minda Corporation Ltd.,AUTOMOBILE,MINDACORP
Minda Industries Ltd.,AUTOMOBILE,MINDAIND
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI
Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,MOTILALOFS
MphasiS Ltd.,IT,MPHASIS
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN
NATCO Pharma Ltd.,PHARMA,NATCOPHARM
NBCC (India) Ltd.,CONSTRUCTION,NBCC
NCC Ltd.,CONSTRUCTION,NCC
NESCO Ltd.,SERVICES,NESCO
NHPC Ltd.,ENERGY,NHPC
NLC India Ltd.,ENERGY,NLCINDIA
NMDC Ltd.,METALS,NMDC
NTPC Ltd.,ENERGY,NTPC
Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,NH
National Aluminium Co. Ltd.,METALS,NATIONALUM
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL
Nava Bharat Ventures Ltd.,ENERGY,NBVENTURES
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR
Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,NETWORK18
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC
Oil India Ltd.,ENERGY,OIL
Omaxe Ltd.,CONSTRUCTION,OMAXE
Oracle Financial Services Software Ltd.,IT,OFSS
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM
Orient Electric Ltd.,CONSUMER GOODS,ORIENTELEC
PC Jeweller Ltd.,CONSUMER GOODS,PCJEWELLER
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA
PTC India Ltd.,ENERGY,PTC
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR
Page Industries Ltd.,TEXTILES,PAGEIND
Parag Milk Foods Ltd.,CONSUMER GOODS,PARAGMILK
Persistent Systems Ltd.,IT,PERSISTENT
Petronet LNG Ltd.,ENERGY,PETRONET
Pfizer Ltd.,PHARMA,PFIZER
Phillips Carbon Black Ltd.,CHEMICALS,PHILIPCARB
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND
Piramal Enterprises Ltd.,PHARMA,PEL
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE
Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,PRSMJOHNSN
Procter & Gamble Health Ltd.,PHARMA,PGHL
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH
Punjab National Bank,FINANCIAL SERVICES,PNB
Quess Corp Ltd.,SERVICES,QUESS
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK
REC Ltd.,FINANCIAL SERVICES,RECLTD
RITES Ltd.,CONSTRUCTION,RITES
Radico Khaitan Ltd,CONSUMER GOODS,RADICO
Rain Industries Ltd,CHEMICALS,RAIN
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS
Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,RKFORGE
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF
Raymond Ltd.,TEXTILES,RAYMOND
Redington (India) Ltd.,SERVICES,REDINGTON
Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO
Reliance Industries Ltd.,ENERGY,RELIANCE
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME
Rupa & Company Ltd.,TEXTILES,RUPA
S H Kelkar and Company Ltd.,CONSUMER GOODS,SHK
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE
SJVN Ltd.,ENERGY,SJVN
SKF India Ltd.,INDUSTRIAL MANUFACTURING,SKFINDIA
SRF Ltd.,TEXTILES,SRF
Sanofi India Ltd.,PHARMA,SANOFI
Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,SCHAEFFLER
Security and Intelligence Services (India) Ltd.,SERVICES,SIS
Shankara Building Products Ltd.,METALS,SHANKARA
Sharda Cropchem Ltd.,FERTILISERS & PESTICIDES,SHARDACROP
Sheela Foam Ltd.,CONSUMER GOODS,SFL
Shilpa Medicare Ltd.,PHARMA,SHILPAMED
Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS
Sobha Ltd.,CONSTRUCTION,SOBHA
Solar Industries India Ltd.,CHEMICALS,SOLARINDS
Sonata Software Ltd.,IT,SONATSOFTW
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK
Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT
State Bank of India,FINANCIAL SERVICES,SBIN
Steel Authority of India Ltd.,METALS,SAIL
Sterlite Technologies Ltd.,TELECOM,STRTECH
Strides Pharma Science Ltd.,PHARMA,STAR
Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV
Sundaram Finance Ltd.,FINANCIAL SERVICES,SUNDARMFIN
Sundram Fasteners Ltd.,AUTOMOBILE,SUNDRMFAST
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK
Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT
Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,SUPREMEIND
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON
Swan Energy Ltd.,TEXTILES,SWANENERGY
Symphony Ltd.,CONSUMER GOODS,SYMPHONY
Syngene International Ltd.,PHARMA,SYNGENE
TCNS Clothing Co. Ltd.,TEXTILES,TCNSBRANDS
TTK Prestige Ltd.,CONSUMER GOODS,TTKPRESTIG
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY
TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR
Tamil Nadu Newsprint & Papers Ltd.,PAPER,TNPL
Tata Chemicals Ltd.,CHEMICALS,TATACHEM
Tata Consultancy Services Ltd.,IT,TCS
Tata Elxsi Ltd.,IT,TATAELXSI
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS
Tata Power Co. Ltd.,ENERGY,TATAPOWER
Tata Steel Ltd.,METALS,TATASTEEL
Teamlease Services Ltd.,SERVICES,TEAMLEASE
Tech Mahindra Ltd.,IT,TECHM
The New India Assurance Company Ltd.,FINANCIAL SERVICES,NIACL
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX
Thomas Cook (India) Ltd.,SERVICES,THOMASCOOK
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE
Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,TIMETECHNO
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN
Titan Company Ltd.,CONSUMER GOODS,TITAN
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM
Torrent Power Ltd.,ENERGY,TORNTPOWER
Trent Ltd.,CONSUMER GOODS,TRENT
Trident Ltd.,TEXTILES,TRIDENT
Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,TRITURBINE
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA
UCO Bank,FINANCIAL SERVICES,UCOBANK
UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX
UPL Ltd.,FERTILISERS & PESTICIDES,UPL
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO
Union Bank of India,FINANCIAL SERVICES,UNIONBANK
United Breweries Ltd.,CONSUMER GOODS,UBL
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD
V-Mart Retail Ltd.,CONSUMER GOODS,VMART
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND
VRL Logistics Ltd.,SERVICES,VRLLOG
VST Industries Ltd.,CONSUMER GOODS,VSTIND
Va Tech Wabag Ltd.,SERVICES,WABAG
Vakrangee Ltd.,IT,VAKRANGEE
Vardhman Textiles Ltd.,TEXTILES,VTL
Varroc Engineering Ltd.,AUTOMOBILE,VARROC
Varun Beverages Ltd.,CONSUMER GOODS,VBL
Vedanta Ltd.,METALS,VEDL
Venky's (India) Ltd.,CONSUMER GOODS,VENKEYS
Vinati Organics Ltd.,CHEMICALS,VINATIORGA
Vodafone Idea Ltd.,TELECOM,IDEA
Voltas Ltd.,CONSUMER GOODS,VOLTAS
Welspun Corp Ltd.,METALS,WELCORP
Welspun India Ltd.,TEXTILES,WELSPUNIND
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL
Wipro Ltd.,IT,WIPRO
Wockhardt Ltd.,PHARMA,WOCKPHARMA
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL
Zensar Technolgies Ltd.,IT,ZENSARTECH
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL
eClerx Services Ltd.,IT,ECLERX
