Ticker,Company,Sector,Market Cap,Exchange,Notes
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,,NSE,
MOTHERSON,,AUTOMOBILE,,NSE,
TRENT,Trent Ltd.,CONSUMER GOODS,,NSE,
TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMA,,NSE,
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,,NSE,
RECLTD,REC Ltd.,FINANCIAL SERVICES,,NSE,
TVSMOTOR,TVS Motor Company Ltd.,AUTOMOBILE,,NSE,
LODHA,,CONSTRUCTION,,NSE,
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,,NSE,
TITAN,Titan Company Ltd.,CONSUMER GOODS,,NSE,
VBL,Varun Beverages Ltd.,CONSUMER GOODS,,NSE,
HDFCAMC,HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,,NSE,
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,,NSE,
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,,NSE,
MUTHOOTFIN,Muthoot Finance Ltd.,FINANCIAL SERVICES,,NSE,
CGPOWER,CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
DMART,Avenue Supermarts Ltd.,CONSUMER GOODS,,NSE,
GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS,,NSE,
HINDZINC,Hindustan Zinc Ltd.,METALS,,NSE,
WIPRO,Wipro Ltd.,IT,,NSE,
UNIONBANK,Union Bank of India,FINANCIAL SERVICES,,NSE,
ADANIGREEN,Adani Green Energy Ltd.,ENERGY,,NSE,
LTM,,IT,,NSE,
IOC,Indian Oil Corporation Ltd.,ENERGY,,NSE,
PIDILITIND,Pidilite Industries Ltd.,CHEMICALS,,NSE,
TATAPOWER,Tata Power Co. Ltd.,ENERGY,,NSE,
GAIL,GAIL (India) Ltd.,ENERGY,,NSE,
HYUNDAI,,AUTOMOBILE,,NSE,
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,,NSE,
TATACONSUM,,CONSUMER GOODS,,NSE,
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,,NSE,
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,,NSE,
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,,NSE,
ABB,ABB India Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,,NSE,
PNB,Punjab National Bank,FINANCIAL SERVICES,,NSE,
JSWSTEEL,JSW Steel Ltd.,METALS,,NSE,
ZYDUSLIFE,,PHARMA,,NSE,
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES,,NSE,
CANBK,Canara Bank,FINANCIAL SERVICES,,NSE,
CIPLA,Cipla Ltd.,PHARMA,,NSE,
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,,NSE,
INDHOTEL,Indian Hotels Co. Ltd.,SERVICES,,NSE,
HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,,NSE,
ENRIN,,OTHER,,NSE,
JINDALSTEL,Jindal Steel & Power Ltd.,METALS,,NSE,
UNITDSPR,,CONSUMER GOODS,,NSE,
IRFC,,FINANCIAL SERVICES,,NSE,
SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
TATACAP,,FINANCIAL SERVICES,,NSE,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,,NSE,
BSE,BSE Ltd.,FINANCIAL SERVICES,,NSE,
TIINDIA,Tube Investments of India Ltd.,AUTOMOBILE,,NSE,
IDEA,Vodafone Idea Ltd.,TELECOM,,NSE,
GROWW,,FINANCIAL SERVICES,,NSE,
MCX,,FINANCIAL SERVICES,,NSE,
LENSKART,,CONSUMER GOODS,,NSE,
PAYTM,,FINANCIAL SERVICES,,NSE,
APARINDS,,INDUSTRIAL MANUFACTURING,,NSE,
DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS,,NSE,
KALYANKJIL,,CONSUMER GOODS,,NSE,
BDL,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
LTF,,FINANCIAL SERVICES,,NSE,
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
OBEROIRLTY,Oberoi Realty Ltd.,CONSTRUCTION,,NSE,
SUZLON,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
COFORGE,,IT,,NSE,
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,,NSE,
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE,,NSE,
OIL,Oil India Ltd.,ENERGY,,NSE,
POLYCAB,,INDUSTRIAL MANUFACTURING,,NSE,
LAURUSLABS,Laurus Labs Ltd.,PHARMA,,NSE,
SWIGGY,,CONSUMER GOODS,,NSE,
POLICYBZR,,FINANCIAL SERVICES,,NSE,
LICI,,FINANCIAL SERVICES,,NSE,
GVT&D,,INDUSTRIAL MANUFACTURING,,NSE,
NAUKRI,Info Edge (India) Ltd.,IT,,NSE,
COCHINSHIP,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
HINDPETRO,Hindustan Petroleum Corporation Ltd.,ENERGY,,NSE,
PERSISTENT,Persistent Systems Ltd.,IT,,NSE,
RADICO,Radico Khaitan Ltd,CONSUMER GOODS,,NSE,
SAIL,Steel Authority of India Ltd.,METALS,,NSE,
KEI,KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
SBICARD,,FINANCIAL SERVICES,,NSE,
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,,NSE,
PAGEIND,Page Industries Ltd.,TEXTILES,,NSE,
INDUSTOWER,,TELECOM,,NSE,
POWERINDIA,,INDUSTRIAL MANUFACTURING,,NSE,
MFSL,Max Financial Services Ltd.,FINANCIAL SERVICES,,NSE,
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
PIIND,PI Industries Ltd.,FERTILISERS & PESTICIDES,,NSE,
LUPIN,Lupin Ltd.,PHARMA,,NSE,
NMDC,NMDC Ltd.,METALS,,NSE,
IPCALAB,Ipca Laboratories Ltd.,PHARMA,,NSE,
COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,,NSE,
GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION,,NSE,
PATANJALI,,CONSUMER GOODS,,NSE,
LGEINDIA,,CONSUMER GOODS,,NSE,
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,,NSE,
HAVELLS,Havells India Ltd.,CONSUMER GOODS,,NSE,
OFSS,Oracle Financial Services Software Ltd.,IT,,NSE,
VOLTAS,Voltas Ltd.,CONSUMER GOODS,,NSE,
MPHASIS,MphasiS Ltd.,IT,,NSE,
NAM-INDIA,,FINANCIAL SERVICES,,NSE,
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER GOODS,,NSE,
BIOCON,Biocon Ltd.,PHARMA,,NSE,
YESBANK,Yes Bank Ltd.,FINANCIAL SERVICES,,NSE,
NATIONALUM,National Aluminium Co. Ltd.,METALS,,NSE,
PRESTIGE,Prestige Estates Projects Ltd.,CONSTRUCTION,,NSE,
WAAREEENER,,ENERGY,,NSE,
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,,NSE,
FORTIS,Fortis Healthcare Ltd.,HEALTHCARE SERVICES,,NSE,
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES,,NSE,
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,,NSE,
MOTILALOFS,Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,,NSE,
KPITTECH,,IT,,NSE,
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA,,NSE,
LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES,,NSE,
APLAPOLLO,APL Apollo Tubes Ltd.,METALS,,NSE,
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA,,NSE,
PHOENIXLTD,Phoenix Mills Ltd.,CONSTRUCTION,,NSE,
MANKIND,,PHARMA,,NSE,
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS,,NSE,
PETRONET,Petronet LNG Ltd.,ENERGY,,NSE,
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,,NSE,
360ONE,,FINANCIAL SERVICES,,NSE,
DABUR,Dabur India Ltd.,CONSUMER GOODS,,NSE,
IDFCFIRSTB,IDFC First Bank Ltd.,FINANCIAL SERVICES,,NSE,
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE,,NSE,
TATAELXSI,Tata Elxsi Ltd.,IT,,NSE,
ALKEM,Alkem Laboratories Ltd.,PHARMA,,NSE,
MAHABANK,Bank of Maharashtra.,FINANCIAL SERVICES,,NSE,
GMRAIRPORT,,SERVICES,,NSE,
ICICIAMC,,FINANCIAL SERVICES,,NSE,
LLOYDSME,,METALS,,NSE,
JSWENERGY,JSW Energy Ltd.,ENERGY,,NSE,
SRF,SRF Ltd.,TEXTILES,,NSE,
JSWINFRA,,SERVICES,,NSE,
TATACOMM,,TELECOM,,NSE,
FLUOROCHEM,,CHEMICALS,,NSE,
UNOMINDA,,AUTOMOBILE,,NSE,
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,,NSE,
VMM,,CONSUMER GOODS,,NSE,
PREMIERENE,,ENERGY,,NSE,
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,,NSE,
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA,,NSE,
NYKAA,,CONSUMER GOODS,,NSE,
THERMAX,Thermax Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
RVNL,,CONSTRUCTION,,NSE,
JSL,Jindal Stainless Ltd.,METALS,,NSE,
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,,NSE,
MARICO,Marico Ltd.,CONSUMER GOODS,,NSE,
DALBHARAT,,CEMENT & CEMENT PRODUCTS,,NSE,
TORNTPOWER,Torrent Power Ltd.,ENERGY,,NSE,
MEDANTA,,HEALTHCARE SERVICES,,NSE,
SCHAEFFLER,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
ANTHEM,,PHARMA,,NSE,
INDIANB,Indian Bank,FINANCIAL SERVICES,,NSE,
NHPC,NHPC Ltd.,ENERGY,,NSE,
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE,,NSE,
SUPREMEIND,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
SUNDARMFIN,Sundaram Finance Ltd.,FINANCIAL SERVICES,,NSE,
HDBFS,,FINANCIAL SERVICES,,NSE,
MRF,MRF Ltd.,AUTOMOBILE,,NSE,
BANKINDIA,Bank of India,FINANCIAL SERVICES,,NSE,
IREDA,,FINANCIAL SERVICES,,NSE,
GODFRYPHLP,Godfrey Phillips India Ltd.,CONSUMER GOODS,,NSE,
IRCTC,,SERVICES,,NSE,
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
GICRE,General Insurance Corporation of India,FINANCIAL SERVICES,,NSE,
GODREJIND,Godrej Industries Ltd.,CONSUMER GOODS,,NSE,
NLCINDIA,NLC India Ltd.,ENERGY,,NSE,
LINDEINDIA,Linde India Ltd.,CHEMICALS,,NSE,
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
ATGL,,ENERGY,,NSE,
CONCOR,Container Corporation of India Ltd.,SERVICES,,NSE,
HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,,NSE,
AWL,,CONSUMER GOODS,,NSE,
NIACL,The New India Assurance Company Ltd.,FINANCIAL SERVICES,,NSE,
BHARTIHEXA,,TELECOM,,NSE,
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES,,NSE,
LTTS,L&T Technology Services Ltd.,IT,,NSE,
BAJAJHFL,,FINANCIAL SERVICES,,NSE,
ESCORTS,Escorts Ltd.,AUTOMOBILE,,NSE,
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS,,NSE,
ITCHOTELS,,SERVICES,,NSE,
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS,,NSE,
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE,,NSE,
KPRMILL,K.P.R. Mill Ltd.,TEXTILES,,NSE,
COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES,,NSE,
ABBOTINDIA,,PHARMA,,NSE,
NTPCGREEN,,ENERGY,,NSE,
HONAUT,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
TATAINVEST,Tata Investment Corporation Ltd.,FINANCIAL SERVICES,,NSE,
JKCEMENT,J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,,NSE,
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE,,NSE,
UBL,United Breweries Ltd.,CONSUMER GOODS,,NSE,
SJVN,SJVN Ltd.,ENERGY,,NSE,
AIIL,,OTHER,,NSE,
3MINDIA,3M India Ltd.,SERVICES,,NSE,
HEXT,,IT,,NSE,
NETWEB,,INDUSTRIAL MANUFACTURING,,NSE,
WELSPUNLIV,,TEXTILES,,NSE,
MRPL,Mangalore Refinery & Petrochemicals Ltd.,ENERGY,,NSE,
HINDCOPPER,Hindustan Copper Ltd.,METALS,,NSE,
HFCL,Himachal Fut Com Ltd.,TELECOM,,NSE,
DATAPATTNS,,INDUSTRIAL MANUFACTURING,,NSE,
PWL,,OTHER,,NSE,
ZENTEC,,INDUSTRIAL MANUFACTURING,,NSE,
CHENNPETRO,Chennai Petroleum Corporation Ltd.,ENERGY,,NSE,
JYOTICNC,,INDUSTRIAL MANUFACTURING,,NSE,
AMBER,,CONSUMER GOODS,,NSE,
AEGISLOG,,ENERGY,,NSE,
ATHERENERG,,AUTOMOBILE,,NSE,
IFCI,IFCI Ltd.,FINANCIAL SERVICES,,NSE,
HEG,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
SYRMA,,INDUSTRIAL MANUFACTURING,,NSE,
SAMMAANCAP,,FINANCIAL SERVICES,,NSE,
GRSE,,INDUSTRIAL MANUFACTURING,,NSE,
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,,NSE,
HSCL,Himadri Speciality Chemical Ltd.,CHEMICALS,,NSE,
SONACOMS,,AUTOMOBILE,,NSE,
PINELABS,,FINANCIAL SERVICES,,NSE,
ANGELONE,,FINANCIAL SERVICES,,NSE,
ACE,,INDUSTRIAL MANUFACTURING,,NSE,
RRKABEL,,INDUSTRIAL MANUFACTURING,,NSE,
KAYNES,,INDUSTRIAL MANUFACTURING,,NSE,
URBANCO,,SERVICES,,NSE,
SCHNEIDER,,INDUSTRIAL MANUFACTURING,,NSE,
PCBL,,CHEMICALS,,NSE,
FORCEMOT,,AUTOMOBILE,,NSE,
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
GLAND,,PHARMA,,NSE,
ACUTAAS,,CHEMICALS,,NSE,
INOXWIND,,INDUSTRIAL MANUFACTURING,,NSE,
CPPLUS,,INDUSTRIAL MANUFACTURING,,NSE,
WELCORP,Welspun Corp Ltd.,METALS,,NSE,
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES,,NSE,
NEULANDLAB,,PHARMA,,NSE,
PTCIL,,INDUSTRIAL MANUFACTURING,,NSE,
TATATECH,,IT,,NSE,
PGEL,,CONSUMER GOODS,,NSE,
KFINTECH,,FINANCIAL SERVICES,,NSE,
MINDACORP,Minda Corporation Ltd.,AUTOMOBILE,,NSE,
BELRISE,,AUTOMOBILE,,NSE,
FINCABLES,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
PPLPHARMA,,PHARMA,,NSE,
CYIENT,Cyient Ltd.,IT,,NSE,
MEESHO,,CONSUMER GOODS,,NSE,
CDSL,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,,NSE,
BLUEJET,,PHARMA,,NSE,
CAMS,,FINANCIAL SERVICES,,NSE,
HONASA,,CONSUMER GOODS,,NSE,
WOCKPHARMA,Wockhardt Ltd.,PHARMA,,NSE,
RBLBANK,RBL Bank Ltd.,FINANCIAL SERVICES,,NSE,
NAVINFLUOR,Navin Fluorine International Ltd.,CHEMICALS,,NSE,
MANAPPURAM,Manappuram Finance Ltd.,FINANCIAL SERVICES,,NSE,
CUB,City Union Bank Ltd.,FINANCIAL SERVICES,,NSE,
IIFL,,FINANCIAL SERVICES,,NSE,
PNBHOUSING,PNB Housing Finance Ltd.,FINANCIAL SERVICES,,NSE,
TENNIND,,OTHER,,NSE,
SCI,,SERVICES,,NSE,
PFOCUS,,MEDIA & ENTERTAINMENT,,NSE,
BANDHANBNK,Bandhan Bank Ltd.,FINANCIAL SERVICES,,NSE,
TRITURBINE,Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
CONCORDBIO,,PHARMA,,NSE,
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS,,NSE,
CARTRADE,,IT,,NSE,
OLAELEC,,AUTOMOBILE,,NSE,
ASAHIINDIA,,AUTOMOBILE,,NSE,
ANANTRAJ,,CONSTRUCTION,,NSE,
GRAPHITE,Graphite India Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
COHANCE,,PHARMA,,NSE,
GPIL,,METALS,,NSE,
REDINGTON,Redington (India) Ltd.,SERVICES,,NSE,
DELHIVERY,,SERVICES,,NSE,
SAILIFE,,PHARMA,,NSE,
RKFORGE,Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
TBOTEK,,SERVICES,,NSE,
CRAFTSMAN,,AUTOMOBILE,,NSE,
CGCL,,FINANCIAL SERVICES,,NSE,
ANURAS,,CHEMICALS,,NSE,
KEC,Kec International Ltd.,CONSTRUCTION,,NSE,
ENGINERSIN,Engineers India Ltd.,CONSTRUCTION,,NSE,
CARBORUNIV,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
NBCC,NBCC (India) Ltd.,CONSTRUCTION,,NSE,
NUVAMA,,FINANCIAL SERVICES,,NSE,
PVRINOX,,MEDIA & ENTERTAINMENT,,NSE,
EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,,NSE,
CEMPRO,,OTHER,,NSE,
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,,NSE,
SAGILITY,,SERVICES,,NSE,
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,METALS,,NSE,
BATAINDIA,Bata India Ltd.,CONSUMER GOODS,,NSE,
TECHNOE,,CONSTRUCTION,,NSE,
AARTIIND,,CHEMICALS,,NSE,
CESC,CESC Ltd.,ENERGY,,NSE,
HBLENGINE,,INDUSTRIAL MANUFACTURING,,NSE,
KIRLOSENG,Kirloskar Oil Eng Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,,NSE,
SHYAMMETL,,METALS,,NSE,
BLS,,SERVICES,,NSE,
DEEPAKNTR,Deepak Nitrite Ltd.,CHEMICALS,,NSE,
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,,NSE,
POLYMED,,HEALTHCARE SERVICES,,NSE,
TEJASNET,,TELECOM,,NSE,
SONATSOFTW,Sonata Software Ltd.,IT,,NSE,
ARE&M,,AUTOMOBILE,,NSE,
J&KBANK,,FINANCIAL SERVICES,,NSE,
ELGIEQUIP,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,,NSE,
ZFCVINDIA,,AUTOMOBILE,,NSE,
PFIZER,Pfizer Ltd.,PHARMA,,NSE,
PIRAMALFIN,,FINANCIAL SERVICES,,NSE,
EMMVEE,,ENERGY,,NSE,
TITAGARH,,INDUSTRIAL MANUFACTURING,,NSE,
ONESOURCE,,PHARMA,,NSE,
GRANULES,Granules India Ltd.,PHARMA,,NSE,
NSLNISP,,METALS,,NSE,
KARURVYSYA,Karur Vysya Bank Ltd.,FINANCIAL SERVICES,,NSE,
HOMEFIRST,,FINANCIAL SERVICES,,NSE,
LEMONTREE,Lemon Tree Hotels Ltd.,SERVICES,,NSE,
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,,NSE,
FIRSTCRY,,CONSUMER GOODS,,NSE,
MGL,Mahanagar Gas Ltd.,ENERGY,,NSE,
PARADEEP,,FERTILISERS & PESTICIDES,,NSE,
JPPOWER,,ENERGY,,NSE,
POONAWALLA,,FINANCIAL SERVICES,,NSE,
GABRIEL,,AUTOMOBILE,,NSE,
RPOWER,,ENERGY,,NSE,
AFCONS,,CONSTRUCTION,,NSE,
ANANDRATHI,,FINANCIAL SERVICES,,NSE,
DEVYANI,,CONSUMER GOODS,,NSE,
EMCURE,,PHARMA,,NSE,
ECLERX,eClerx Services Ltd.,IT,,NSE,
GRAVITA,,METALS,,NSE,
NATCOPHARM,NATCO Pharma Ltd.,PHARMA,,NSE,
OLECTRA,,AUTOMOBILE,,NSE,
USHAMART,,METALS,,NSE,
IEX,Indian Energy Exchange Ltd.,FINANCIAL SERVICES,,NSE,
SWANCORP,,OTHER,,NSE,
AEGISVOPAK,,ENERGY,,NSE,
IKS,,HEALTHCARE SERVICES,,NSE,
MSUMI,,AUTOMOBILE,,NSE,
INTELLECT,Intellect Design Arena Ltd.,IT,,NSE,
ZENSARTECH,Zensar Technolgies Ltd.,IT,,NSE,
ACMESOLAR,,ENERGY,,NSE,
DEEPAKFERT,,CHEMICALS,,NSE,
CLEAN,,CHEMICALS,,NSE,
LTFOODS,,CONSUMER GOODS,,NSE,
TATACHEM,Tata Chemicals Ltd.,CHEMICALS,,NSE,
AFFLE,,IT,,NSE,
IGIL,,SERVICES,,NSE,
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION,,NSE,
RAMCOCEM,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,,NSE,
THELEELA,,SERVICES,,NSE,
CHOICEIN,,FINANCIAL SERVICES,,NSE,
CASTROLIND,Castrol India Ltd.,ENERGY,,NSE,
SAPPHIRE,,CONSUMER GOODS,,NSE,
FSL,Firstsource Solutions Ltd.,IT,,NSE,
SUMICHEM,,CHEMICALS,,NSE,
MAPMYINDIA,,IT,,NSE,
KPIL,,CONSTRUCTION,,NSE,
INDIAMART,,IT,,NSE,
APTUS,,FINANCIAL SERVICES,,NSE,
TARIL,,INDUSTRIAL MANUFACTURING,,NSE,
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMA,,NSE,
DCMSHRIRAM,DCM Shriram Ltd.,CONSUMER GOODS,,NSE,
TRAVELFOOD,,SERVICES,,NSE,
KIMS,,HEALTHCARE SERVICES,,NSE,
JMFINANCIL,JM Financial Ltd.,FINANCIAL SERVICES,,NSE,
BSOFT,,IT,,NSE,
SAREGAMA,,MEDIA & ENTERTAINMENT,,NSE,
ERIS,Eris Lifesciences Ltd.,PHARMA,,NSE,
RHIM,,INDUSTRIAL MANUFACTURING,,NSE,
ABDL,,CONSUMER GOODS,,NSE,
JAINREC,,METALS,,NSE,
IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES,,NSE,
NAVA,,ENERGY,,NSE,
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,,NSE,
ATUL,Atul Ltd.,CHEMICALS,,NSE,
ABFRL,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,,NSE,
NEWGEN,,IT,,NSE,
JUBLPHARMA,,PHARMA,,NSE,
VTL,Vardhman Textiles Ltd.,TEXTILES,,NSE,
KAJARIACER,Kajaria Ceramics Ltd.,CONSTRUCTION,,NSE,
JINDALSAW,Jindal Saw Ltd.,METALS,,NSE,
LATENTVIEW,,IT,,NSE,
EMAMILTD,Emami Ltd.,CONSUMER GOODS,,NSE,
AADHARHFC,,FINANCIAL SERVICES,,NSE,
SIGNATURE,,CONSTRUCTION,,NSE,
VIJAYA,,HEALTHCARE SERVICES,,NSE,
CEATLTD,Ceat Ltd.,AUTOMOBILE,,NSE,
CREDITACC,CreditAccess Grameen Ltd.,FINANCIAL SERVICES,,NSE,
